,method,iteration,data
239,Batch,39,0.1982
240,Batch,40,0.1984
241,Batch,41,0.1985
242,Batch,42,0.1986
243,Batch,43,0.1989
244,Batch,44,0.1989
245,Batch,45,0.1991
246,Batch,46,0.1991
247,Batch,47,0.1994
248,Batch,48,0.1997
249,Batch,49,0.1999
250,Batch,0,0.2456
251,Batch,1,0.2463
252,Batch,2,0.2465
253,Batch,3,0.2465
254,Batch,4,0.2465
255,Batch,5,0.2466
256,Batch,6,0.2467
257,Batch,7,0.2472
258,Batch,8,0.2472
259,Batch,9,0.2473
260,Batch,10,0.2475
261,Batch,11,0.2477
262,Batch,12,0.2479
263,Batch,13,0.2479
264,Batch,14,0.2479
265,Batch,15,0.2481
266,Batch,16,0.2483
267,Batch,17,0.2484
268,Batch,18,0.2486
269,Batch,19,0.249
270,Batch,20,0.2496
271,Batch,21,0.2499
272,Batch,22,0.2499
273,Batch,23,0.2503
274,Batch,24,0.2504
275,Batch,25,0.2506
276,Batch,26,0.2509
277,Batch,27,0.2512
278,Batch,28,0.2515
279,Batch,29,0.252
280,Batch,30,0.2522
281,Batch,31,0.2523
282,Batch,32,0.2527
283,Batch,33,0.253
284,Batch,34,0.2532
285,Batch,35,0.2532
286,Batch,36,0.2536
287,Batch,37,0.2538
288,Batch,38,0.254
289,Batch,39,0.2542
290,Batch,40,0.2544
291,Batch,41,0.2545
292,Batch,42,0.2548
293,Batch,43,0.255
294,Batch,44,0.2554
295,Batch,45,0.2554
296,Batch,46,0.2555
297,Batch,47,0.2558
298,Batch,48,0.2561
299,Batch,49,0.2562
300,SGD,0,0.1904
301,SGD,1,0.1912
302,SGD,2,0.1916
303,SGD,3,0.1924
304,SGD,4,0.1923
305,SGD,5,0.1923
306,SGD,6,0.1923
307,SGD,7,0.1923
308,SGD,8,0.1937
309,SGD,9,0.1943
310,SGD,10,0.1955
311,SGD,11,0.1955
312,SGD,12,0.196
313,SGD,13,0.1971
314,SGD,14,0.1971
315,SGD,15,0.1971
316,SGD,16,0.1971
317,SGD,17,0.1978
318,SGD,18,0.1977
319,SGD,19,0.1977
320,SGD,20,0.1977
321,SGD,21,0.1983
322,SGD,22,0.1983
323,SGD,23,0.1984
324,SGD,24,0.1984
325,SGD,25,0.1984
326,SGD,26,0.198
327,SGD,27,0.1981
328,SGD,28,0.1984
329,SGD,29,0.1985
330,SGD,30,0.1986
331,SGD,31,0.1986
332,SGD,32,0.1991
333,SGD,33,0.1995
334,SGD,34,0.1995
335,SGD,35,0.1995
336,SGD,36,0.2
337,SGD,37,0.1998
338,SGD,38,0.2005
339,SGD,39,0.2005
340,SGD,40,0.2007
341,SGD,41,0.2006
342,SGD,42,0.2007
343,SGD,43,0.2007
344,SGD,44,0.2004
345,SGD,45,0.2007
346,SGD,46,0.2004
347,SGD,47,0.2004
348,SGD,48,0.2003
349,SGD,49,0.2014
350,SGD,0,0.2456
351,SGD,1,0.2457
352,SGD,2,0.2458
353,SGD,3,0.2457
354,SGD,4,0.2463
355,SGD,5,0.2466
356,SGD,6,0.2466
357,SGD,7,0.2468
358,SGD,8,0.2469
359,SGD,9,0.2471
360,SGD,10,0.2471
361,SGD,11,0.2472
362,SGD,12,0.2472
363,SGD,13,0.2478
364,SGD,14,0.2483
365,SGD,15,0.2489
366,SGD,16,0.2489
367,SGD,17,0.249
368,SGD,18,0.2492
369,SGD,19,0.2498
