,method,iteration,data
0,,0,66.01758216333351
1,,1,64.66326947206053
2,,2,64.39159464744851
3,,3,61.86047391536382
4,,4,64.3637057448974
5,,5,66.417644504885
6,,6,63.202277932748565
7,,7,61.657289101072095
8,,8,60.20768482799589
9,,9,61.773347641949954
10,,10,61.21740958494686
11,,11,64.82336960688689
12,,12,62.39654885187391
13,,13,63.37852506880504
14,,14,62.52532382162279
15,,15,63.886773999446234
16,,16,64.73421617098795
17,,17,60.05744956708632
18,,18,60.10946127637868
19,,19,62.15782185338766
20,,20,62.231834353648296
21,,21,63.09264464393757
22,,22,65.89434944243058
23,,23,59.497471142923736
24,,24,65.0630104491783
25,,25,65.44652430853176
26,,26,61.61366870923278
27,,27,66.10938062795148
28,,28,59.69931052405359
29,,29,62.91666357418164
30,,30,65.00221118067367
31,,31,61.93362231191698
32,,32,60.36095585067534
33,,33,64.15132915046728
34,,34,64.62598694893731
35,,35,67.00067333103267
36,,36,63.00695503446599
37,,37,65.56757431494275
38,,38,67.59662000929157
39,,39,63.04860805585936
40,,40,62.51132053554252
41,,41,62.65114084056002
42,,42,61.25926622374969
43,,43,62.05910077617909
44,,44,63.52825875300893
45,,45,62.63491884312839
46,,46,63.51653899651406
47,,47,61.73308781169224
48,,48,65.22666750798686
49,,49,63.37799724644494
50,,50,64.37855108239746
51,,51,61.53812814681545
52,,52,65.6585656699752
53,,53,62.63902975649631
54,,54,60.95362160684882
55,,55,63.34607681134978
56,,56,61.91380904296774
57,,57,62.5753985951499
58,,58,64.00931841423224
59,,59,62.80753839149266
60,,60,61.30097072334947
61,,61,59.05947570717454
62,,62,63.67211144379165
63,,63,63.521307262944774
64,,64,62.66347945490198
65,,65,68.94508246096888
66,,66,64.0693976259134
67,,67,63.3291960042233
68,,68,68.22097530732266
69,,69,64.27616341308678
70,,70,65.80273601464283
71,,71,61.62487735346608
72,,72,62.25121542970844
73,,73,62.41270676649897
74,,74,63.5009485229161
75,,75,63.721043805506575
76,,76,67.60461526624718
77,,77,64.18549998605354
78,,78,62.32057817073455
79,,79,61.78032635204598
80,,80,66.00017255883043
81,,81,63.77662274282684
82,,82,66.83000736713716
83,,83,64.65130503834817
84,,84,63.00629302796641
85,,85,61.09015937421157
86,,86,64.36887197849539
87,,87,61.72639090321326
88,,88,64.24943495683348
89,,89,62.746757314858954
90,,90,62.51562726290207
91,,91,61.669894434932985
92,,92,61.17189307238759
93,,93,62.18521632528613
94,,94,67.13140069318524
95,,95,63.00793594035564
96,,96,63.0480714015765
97,,97,63.501322630025314
98,,98,62.26376839067977
99,,99,66.32960406250363
